Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
161,CA-2020-162733,2020-05-11,2020-05-12,First Class,TT-21070,Ted Trevino,Consumer,United States,Los Angeles,California,90045,West,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,5.98,1,0,2.691
494,CA-2020-169166,2020-05-09,2020-05-14,Standard Class,SS-20590,Sonia Sunley,Consumer,United States,Seattle,Washington,98115,West,TEC-AC-10000991,Technology,Accessories,Sony Micro Vault Click 8 GB USB 2.0 Flash Drive,93.98,2,0,13.1572
501,US-2020-105578,2020-05-30,2020-06-04,Standard Class,MY-17380,Maribeth Yedwab,Corporate,United States,Parker,Colorado,80134,West,OFF-BI-10001670,Office Supplies,Binders,Vinyl Sectional Post Binders,22.62,2,0.7,-15.08
502,US-2020-105578,2020-05-30,2020-06-04,Standard Class,MY-17380,Maribeth Yedwab,Corporate,United States,Parker,Colorado,80134,West,OFF-BI-10001658,Office Supplies,Binders,GBC Standard Therm-A-Bind Covers,14.952,2,0.7,-11.9616
503,US-2020-105578,2020-05-30,2020-06-04,Standard Class,MY-17380,Maribeth Yedwab,Corporate,United States,Parker,Colorado,80134,West,FUR-CH-10001215,Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,801.568,2,0.2,50.098
504,US-2020-105578,2020-05-30,2020-06-04,Standard Class,MY-17380,Maribeth Yedwab,Corporate,United States,Parker,Colorado,80134,West,OFF-BI-10000831,Office Supplies,Binders,Storex Flexible Poly Binders with Double Pockets,2.376,3,0.7,-1.9008
505,US-2020-105578,2020-05-30,2020-06-04,Standard Class,MY-17380,Maribeth Yedwab,Corporate,United States,Parker,Colorado,80134,West,OFF-PA-10000357,Office Supplies,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",32.792,1,0.2,11.8871
524,US-2020-139486,2020-05-21,2020-05-23,First Class,LH-17155,Logan Haushalter,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10003555,Technology,Phones,Motorola HK250 Universal Bluetooth Headset,55.176,3,0.2,-12.4146
525,US-2020-139486,2020-05-21,2020-05-23,First Class,LH-17155,Logan Haushalter,Consumer,United States,Los Angeles,California,90032,West,TEC-AC-10003832,Technology,Accessories,Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,66.26,2,0,27.1666
534,CA-2020-168753,2020-05-29,2020-06-01,Second Class,RL-19615,Rob Lucas,Consumer,United States,Montgomery,Alabama,36116,South,TEC-PH-10000984,Technology,Phones,Panasonic KX-TG9471B,979.95,5,0,274.386
535,CA-2020-168753,2020-05-29,2020-06-01,Second Class,RL-19615,Rob Lucas,Consumer,United States,Montgomery,Alabama,36116,South,OFF-BI-10002557,Office Supplies,Binders,Presstex Flexible Ring Binders,22.75,5,0,11.375
639,CA-2020-115917,2020-05-20,2020-05-25,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Vallejo,California,94591,West,FUR-FU-10000576,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,1049.2,5,0,272.792
640,CA-2020-115917,2020-05-20,2020-05-25,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Vallejo,California,94591,West,OFF-BI-10004728,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders,15.424,4,0.2,5.0128
770,CA-2020-157245,2020-05-19,2020-05-24,Standard Class,LE-16810,Laurel Elliston,Consumer,United States,Arlington,Virginia,22204,South,FUR-CH-10003746,Furniture,Chairs,Hon 4070 Series Pagoda Round Back Stacking Chairs,641.96,2,0,179.7488
793,CA-2020-105256,2020-05-20,2020-05-20,Same Day,JK-15730,Joe Kamberova,Consumer,United States,Asheville,North Carolina,28806,South,TEC-PH-10001530,Technology,Phones,Cisco Unified IP Phone 7945G VoIP phone,1363.96,5,0.2,85.2475
853,CA-2020-113747,2020-05-28,2020-06-04,Standard Class,VD-21670,Valerie Dominguez,Consumer,United States,Jackson,Mississippi,39212,South,OFF-AR-10003373,Office Supplies,Art,"Boston School Pro Electric Pencil Sharpener, 1670",185.88,6,0,50.1876
979,CA-2020-145499,2020-05-30,2020-05-31,First Class,RW-19690,Robert Waldorf,Consumer,United States,Wilmington,North Carolina,28403,South,OFF-BI-10000848,Office Supplies,Binders,Angle-D Ring Binders,3.282,2,0.7,-2.6256
1234,CA-2020-153682,2020-05-30,2020-06-01,First Class,BG-11695,Brooke Gillingham,Corporate,United States,Cincinnati,Ohio,45231,East,TEC-CO-10001046,Technology,Copiers,Canon Imageclass D680 Copier / Fax,839.988,2,0.4,69.9989999999999
1274,CA-2020-119186,2020-05-26,2020-05-26,Same Day,MS-17710,Maurice Satty,Consumer,United States,Fort Worth,Texas,76106,Central,OFF-PA-10004621,Office Supplies,Paper,Xerox 212,10.368,2,0.2,3.6288
1275,CA-2020-119186,2020-05-26,2020-05-26,Same Day,MS-17710,Maurice Satty,Consumer,United States,Fort Worth,Texas,76106,Central,FUR-CH-10001973,Furniture,Chairs,Office Star Flex Back Scooter Chair with White Frame,388.43,5,0.3,-88.784
1276,CA-2020-119186,2020-05-26,2020-05-26,Same Day,MS-17710,Maurice Satty,Consumer,United States,Fort Worth,Texas,76106,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),14.352,3,0.2,5.2026
1277,CA-2020-119186,2020-05-26,2020-05-26,Same Day,MS-17710,Maurice Satty,Consumer,United States,Fort Worth,Texas,76106,Central,TEC-AC-10000580,Technology,Accessories,Logitech G13 Programmable Gameboard with LCD Display,63.992,1,0.2,-7.1991
1278,CA-2020-148698,2020-05-02,2020-05-07,Standard Class,BD-11770,Bryan Davis,Consumer,United States,Houston,Texas,77070,Central,OFF-AR-10004022,Office Supplies,Art,Panasonic KP-380BK Classic Electric Pencil Sharpener,86.352,3,0.2,5.39699999999999
1330,CA-2020-142762,2020-05-23,2020-05-27,Standard Class,LD-17005,Lisa DeCherney,Consumer,United States,San Francisco,California,94109,West,FUR-FU-10003691,Furniture,Furnishings,"Eldon Image Series Desk Accessories, Ebony",37.05,3,0,16.302
1336,CA-2020-122133,2020-05-16,2020-05-23,Standard Class,JR-15670,Jim Radford,Consumer,United States,Middletown,Connecticut,6457,East,OFF-ST-10002574,Office Supplies,Storage,"SAFCO Commercial Wire Shelving, Black",552.56,4,0,0
1358,CA-2020-145247,2020-05-05,2020-05-07,First Class,ND-18370,Natalie DeCherney,Consumer,United States,Louisville,Kentucky,40214,South,OFF-PA-10003641,Office Supplies,Paper,Xerox 1909,79.14,3,0,36.4044
1445,CA-2020-133725,2020-05-23,2020-05-28,Standard Class,KL-16645,Ken Lonsdale,Consumer,United States,Chicago,Illinois,60623,Central,TEC-PH-10004165,Technology,Phones,Mitel MiVoice 5330e IP Phone,1979.928,9,0.2,148.4946
1557,CA-2020-109176,2020-05-09,2020-05-15,Standard Class,JW-16075,Julia West,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10003134,Office Supplies,Envelopes,Staple envelope,9.344,1,0.2,3.504
